100 4950 5
0	1	2	0.02
1	4	3	0.03
2	27	3	0.02
3	68	10	0.02
4	41	5	0.04
5	91	7	0.01
6	42	3	0.05
7	37	1	0.04
8	33	1	0.03
9	5	2	0.05
10	2	5	0.02
11	65	4	0.01
12	45	4	0.01
13	10	9	0.03
14	44	10	0.03
15	26	2	0.03
16	38	7	0.01
17	83	9	0.05
18	38	10	0.04
19	67	9	0.03
20	41	6	0.05
21	10	8	0.01
22	72	8	0.05
23	64	5	0.07
24	40	4	0.01
25	57	1	0.04
26	12	10	0.03
27	76	5	0.02
28	49	8	0.06
29	63	8	0.01
30	42	8	0.03
31	27	9	0.01
32	74	1	0.03
33	84	4	0.01
34	98	10	0.04
35	11	6	0.05
36	58	5	0.03
37	63	3	0.02
38	42	1	0.02
39	92	10	0.03
40	6	9	0.01
41	48	1	0.02
42	75	10	0.02
43	37	2	0.03
44	93	1	0.01
45	85	8	0.02
46	11	6	0.02
47	85	4	0.02
48	59	6	0.00
49	8	3	0.07
50	16	8	0.02
51	92	9	0.06
52	24	6	0.03
53	21	7	0.04
54	16	2	0.02
55	45	5	0.09
56	71	2	0.03
57	20	10	0.04
58	49	1	0.03
59	53	4	0.01
60	94	1	0.06
61	88	2	0.01
62	86	2	0.05
63	60	9	0.09
64	87	3	0.01
65	5	10	0.03
66	93	5	0.04
67	20	7	0.02
68	82	10	0.00
69	63	6	0.03
70	87	9	0.04
71	85	2	0.01
72	42	10	0.01
73	69	4	0.03
74	80	1	0.02
75	20	10	0.02
76	31	2	0.06
77	99	7	0.01
78	41	5	0.03
79	16	1	0.01
80	97	3	0.01
81	25	5	0.06
82	51	2	0.06
83	87	7	0.04
84	40	8	0.00
85	71	7	0.06
86	30	9	0.05
87	77	4	0.01
88	87	6	0.02
89	51	4	0.05
90	32	6	0.04
91	86	9	0.01
92	44	8	0.01
93	39	4	0.03
94	72	9	0.00
95	90	3	0.02
96	57	3	0.02
97	13	9	0.02
98	18	10	0.02
99	1	1	0.01
84	39	4	0.02
59	0	9	0.03
13	63	3	0.01
26	6	7	0.01
17	75	4	0.03
73	18	8	0.02
29	88	1	0.01
80	95	7	0.05
43	61	6	0.02
32	49	7	0.03
70	99	7	0.00
85	78	7	0.02
9	57	5	0.01
49	56	4	0.02
17	73	4	0.04
49	31	2	0.02
4	9	7	0.02
13	95	6	0.01
67	81	1	0.00
96	95	2	0.01
47	66	9	0.01
45	82	3	0.01
80	13	9	0.01
61	19	8	0.01
14	71	4	0.01
43	33	4	0.02
16	8	9	0.02
68	37	9	0.01
2	56	1	0.02
42	23	10	0.04
39	51	5	0.01
62	41	2	0.03
57	9	4	0.00
85	93	6	0.02
83	11	10	0.02
1	79	9	0.00
81	95	4	0.01
58	23	9	0.02
21	8	10	0.00
77	0	3	0.01
38	78	10	0.00
59	71	4	0.00
70	17	4	0.02
32	41	5	0.01
25	52	2	0.04
37	57	2	0.04
78	5	1	0.00
12	8	8	0.02
92	25	10	0.02
23	51	2	0.00
93	19	8	0.01
21	16	6	0.01
76	46	8	0.02
32	95	6	0.01
73	92	10	0.00
50	51	4	0.02
55	29	6	0.01
27	2	1	0.02
44	78	7	0.03
33	91	3	0.01
73	21	4	0.01
26	50	3	0.05
99	73	5	0.01
76	98	4	0.04
25	35	9	0.01
92	16	1	0.01
99	98	4	0.01
1	68	8	0.03
36	1	10	0.01
67	23	1	0.03
21	49	9	0.02
45	62	5	0.01
54	98	1	0.03
47	28	2	0.01
23	36	6	0.00
61	76	8	0.03
43	26	10	0.02
61	23	8	0.01
30	4	2	0.02
74	91	3	0.01
81	35	6	0.01
80	50	7	0.05
77	59	7	0.02
50	17	5	0.04
87	41	10	0.04
52	64	5	0.00
35	67	9	0.00
54	67	10	0.00
66	9	3	0.01
62	60	5	0.01
59	77	3	0.02
0	78	7	0.04
76	84	9	0.02
6	87	8	0.03
56	8	3	0.04
98	6	2	0.04
